sample,spot,cage,sample_id,apo_sym,date_deployed,date_collected,treatment,Notes,Present_in_lab,survival_6.30.23,survival_7.5.23,survival_7.12.23,survival_7.19.23,survival_8.1.23,survival_8.9.23,survival_8.14.23,survival_8.23.23,survival_8.28.23,survival_9.6.23,survival_9.13.23,survival_9.20.23,survival_9.29.23,survival_10.3.23,survival_10.10.23,end_status,date_mortality,days_alive
33,D2,G5,G5-D2-33,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
25,D3,G5,G5-D3-25,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
89,A1,S1,S1-A1-89,APO,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
29,A2,S1,S1-A2-29,NA,2023.06.23,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
210,A3,S1,S1-A3-210,APO,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
116,A4,S1,S1-A4-116,APO,2023.06.23,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
9,B1,S1,S1-B1-9,APO,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
224,B2,S1,S1-B2-224,APO,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
18,B3,S1,S1-B3-18,APO,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
208,B4,S1,S1-B4-208,APO,2023.06.23,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
173,C1,S1,S1-C1-173,SYM,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
233,C2,S1,S1-C2-233,SYM,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
146,C3,S1,S1-C3-146,SYM,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
211,C4,S1,S1-C4-211,SYM,2023.06.23,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
61,D1,S1,S1-D1-61,SYM,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
96,D2,S1,S1-D2-96,SYM,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
219,D3,S1,S1-D3-219,SYM,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
55,D4,S1,S1-D4-55,SYM,2023.06.21,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
160,A1,S2,S2-A1-160,APO,2023.06.23,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
44,A2,S2,S2-A2-44,APO,2023.06.23,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
62,A3,S2,S2-A3-62,APO,2023.06.23,2023.10.09,shade,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
